id;product;calories;fat;saturated;trans; monounsaturated; polyunsaturated;cholesterol;total;starch;sugar;added;protein;fiber; salt
04.293;Fiskegrateng, med egg, ovnsstekt, kjøpt;134;5,2;0,6;0;2,9;1,5;36;13;9;4;0;8,4;1;0,9
04.295;Fiskegryte, med sei, løk og paprikasaus;83;2,7;0,8;0;1,1;0,6;44;4,8;2,9;1,9;0;9,5;1;0,5
04.296;Fiskegryte, med torsk og tomat;64;1,9;0,5;0;0,7;0,5;53;1,8;0;1,8;0;9,6;1;1,1
04.352;Fiskepinner, Findus;180;7,9;0,6;0;4,6;2;33;15,5;14;1,5;0;11,1;1;0,6
04.319;Fiskepinner, forfritert, stekt i fett;215;10,5;1,3;0;6;2,7;38;17,5;15,8;1,7;0;11,9;2;0,6
04.305;Fiskepinner, forfritert, stekt i matolje;264;16,7;1,6;0;9,4;4,9;35;16,5;14,9;1,6;0;11,2;1;0,5
04.303;Fiskepinner, forfritert, stekt i myk margarin;250;15,1;1,3;0;8,7;4,3;35;16,5;14,9;1,7;0;11,2;1;0,6
04.304;Fiskepinner, forfritert, stekt i smør;215;10,5;1,9;0,1;5,6;2,3;42;17,5;15,8;1,7;0;11,9;2;0,6
04.205;Fiskesuppe, med laks, fryst;66;4,3;1,1;0;1,2;1,7;0;2,1;1,2;0,9;0,1;4,6;0;1
04.298;Fiskesuppe, med mager fisk;37;1,7;0,5;0;0,7;0,4;22;0,7;0,1;0,6;0;4,5;0;0,2
04.204;Fiskesuppe, med mager fisk, fryst;115;6,2;0,7;0;3,2;2;23;8,1;6,3;0,4;0;6,4;1;1,7
04.299;Fiskesuppe, med mager fisk, jevnet;41;1,7;0,7;0;0,6;0,3;30;1,8;0,7;1,3;0;4,4;0;0,1
04.297;Kabaret, med fiskepudding og reker;45;1,1;0,6;0;0,3;0,1;31;2,1;1,1;1;0,2;6,4;0;2,2
04.332;Sashimi, kveite;113;4,3;0,8;0;1,9;1,1;66;0;0;0;0;18,5;0;0,1
04.331;Sashimi, laks;224;16;3;0;5,9;5;80;0;0;0;0;20;0;0,1
04.333;Sashimi, tunfisk;105;1;0,3;0;0,2;0,4;41;0;0;0;0;24;0;0,1
04.301;Sildesalat, med potet;83;2;0,4;0;1;0,3;10;12,6;3,3;9,3;2,3;3;1;0,8
04.368;Sushi, maki, California;113;1,9;0,3;0;1,1;0,3;7;20;19,1;0,9;0,6;4;0;0,5
04.338;Sushi, maki, kveite;113;2,4;0,4;0;1,4;0,4;10;17,7;17,4;0,3;0;5;0;0,2
04.337;Sushi, maki, laks;131;4,3;0,7;0;2,4;1,1;13;17,7;17,4;0,3;0;5,1;0;0,2
04.370;Sushi, maki, scampi;111;1,9;0,3;0;1,1;0,3;24;17,7;17,4;0,3;0;5,7;0;0,4
04.369;Sushi, maki, tempura;131;3,3;0,9;0;1,7;0,5;18;20,7;20,3;0,3;0;4,4;1;0,3
04.339;Sushi, maki, tunfisk;112;1,9;0,3;0;1,1;0,3;7;17,7;17,4;0,3;0;5,8;0;0,2
04.372;Sushi, nigiri, kamskjell;104;0,5;0,1;0;0,1;0,2;38;17,6;17,4;0,2;0;7,2;0;0
04.335;Sushi, nigiri, kveite;113;1,5;0,3;0;0,6;0,4;20;17,6;17,4;0,2;0;7,3;0;0
04.334;Sushi, nigiri, laks;148;5,1;0,8;0;2,6;1,7;24;17,6;17,4;0,2;0;7,7;0;0
04.371;Sushi, nigiri, scampi;110;0,4;0,1;0;0,1;0,1;46;17,6;17,4;0,2;0;8,8;0;0,5
04.336;Sushi, nigiri, tunfisk;111;0,5;0,1;0;0,1;0,2;13;17,6;17,4;0,2;0;9;0;0
;;;;;;;;;;;;;;;
4.3;Skalldyr, fiskeinnmat;;;;;;;;;;;;;;
04.208;Akkar, innbakt, forfritert, fryst;212;10,1;4;M;4,1;1,3;145;18,6;18,5;0,1;0;11,2;1;0,2
04.313;Akkar, innbakt, forfritert, stekt i soyaolje;331;21,2;5,8;0;10;4,6;172;22;21,9;0,1;0;12,6;1;0,2
04.302;Akkar, tiarmet blekksprut, kokt;117;2,9;0,8;0;0,4;1,2;441;0;0;0;0;22,6;0;0,5
04.262;Akkar, tiarmet blekksprut, rå;77;1,7;0,4;0;0,2;0,6;225;0;0;0;0;15,4;0;0,3
04.076;Blåskjell, avrent, hermetisk;107;2,3;0,4;0;0,4;0,8;86;4,7;4,7;0;0;16,9;0;1,3
04.053;Blåskjell, rå;54;1,4;0,3;0;0,3;0,6;38;0;0;0;0;10,4;0;1,5
04.054;Hummer, kokt;66;0,6;0,1;0;0,2;0,2;93;0;0;0;0;15,2;0;1,7
04.264;Kamskjell, kokt;78;1,2;0,3;0;0,1;0,6;158;0;0;0;0;16,8;0;0,1
04.114;Kamskjell, rå;82;1,1;0,2;0;0,1;0,5;126;0;0;0;0;17,9;0;0,1
04.340;Kongereke, rå;77;0,7;0,2;0;0,1;0,2;150;0;0;0;0;17,6;0;0,5
04.055;Krabbe, kokt;108;1,8;0,3;0;0,2;0,5;142;0;0;0;0;22,9;0;1,4
04.091;Krabbe, naturell, hermetisk;108;1,8;0,4;0;0,3;0,6;72;0;0;0;0;22,9;0;1,4
04.265;Krabbepinner, crabsticks, fryst;114;0,8;0,1;0;0,3;0,3;44;14,1;10,6;3,5;3,5;12,5;0;2
04.121;Kreps, kokt;55;1,3;0,3;0;0,4;0,5;125;0;0;0;0;10,7;0;1,9
04.374;Krepsehale, i lake, avrent;70;0,4;0,1;0;0,1;0,1;149;0,8;0,8;0;0;15,6;0;2,1
04.051;Lever, torsk, rå;553;59;9,4;0;27,4;15;245;0;0;0;0;5,5;0;0,1
04.098;Reker, i lake, avrent;72;0,3;0,1;0;0,1;0,1;172;1,2;1,2;0;0;16,3;0;2,5
04.207;Reker, innbakt, forfritert, fryst;225;10;4,1;M;4,2;1,4;110;18,6;18,5;0,1;0;14,8;1;0,8
04.277;Reker, innbakt, forfritert, stekt i soyaolje;270;16,4;4,6;0;7,9;3,7;102;17,2;17,1;0,1;0;13;1;0,6
04.057;Reker, kokt;100;0,8;0,1;0;0,2;0,2;150;0;0;0;0;23,3;0;1,5
04.318;Rogn, torsk, hermetisk, stekt i fett;220;13,3;3,8;0,1;5,6;2,8;326;0;0;0;0;25,1;0;0,3
04.312;Rogn, torsk, kokt;100;2,5;0,6;0;0,5;1,2;359;0;0;0;0;19,3;0;0,2
04.100;Rogn, torsk, presset, hermetisk;126;1,9;0,4;0;0,4;0,6;330;0;0;0;0;27,1;0;0,3
04.052;Rogn, torsk, rå;116;2,6;0,5;0;0,5;1,1;323;0;0;0;0;23,2;0;0,3
04.258;Snegler, hermetisk;77;1,4;0,2;0;0,3;0,4;50;0;0;0;0;16,1;0;0,2
04.367;Strandsnegle, norsk;87;1,4;0,2;0;0,3;0,5;0;3,3;M;0;0;15,2;0;1,1
04.058;Østers, rå;59;2,4;0,5;0;0,5;1;50;0;0;0;0;9,3;0;0,3
;;;;;;;;;;;;;;;
5;Korn- og bakevarer, frø og nøtter;;;;;;;;;;;;;;
5.1;Mel;;;;;;;;;;;;;;
05.132;Bokhvetemel;307;2,8;0,3;0;0,6;0,7;0;56,2;54,9;1,4;0;12;5;0
05.002;Byggmel;334;2;0,4;0;0,2;1;0;65,6;64,9;0,7;0;8,7;10;0
05.120;Finbakstmel;345;2;0,2;0;0,3;0,9;0;70,5;68,9;1,6;0;10;3;0
05.121;Grovbakstmel, 40 % sammalt;323;2;0,2;0;0,3;0,9;0;60,8;59,1;1,7;0;11,6;8;0
05.122;Havrekli;361;7,5;1,6;0;2,7;2,7;0;54,6;51,4;3,2;0;12,3;13;0
05.004;Havremel;373;7;1,5;0;2,5;2,5;0;61,7;60,4;1,3;0;11,7;9;0
05.007;Hvetekim;331;9,3;1,6;0;1,4;5,6;0;25,1;11,8;13,3;0;27,4;18;0
05.006;Hvetemel, sammalt, fint/grovt;330;2,1;0,3;0;0,3;1,2;0;57,9;57,2;0,8;0;13,4;13;0
05.010;Hvetemel, siktet;343;1,4;0,2;0;0,2;0,8;0;68,1;67,8;0,3;0;12,1;5;0
05.496;Hvetemel, økologisk;343;1,5;0,2;0;0,2;0,8;0;66,3;65,9;0,4;0;13,7;5;0
05.351;Kakemiks, fin, glutenfri, pulver, Toro;375;0,7;0,1;0;0,4;0,2;0;91;87,2;3,8;3,7;1;0;1,5
05.383;Kikertmel;375;5,4;0,6;0;1;2,8;0;53,8;51,5;2,3;0;22,7;10;0
05.445;Kokosmel;648;61,3;53,3;0;2,4;0,4;0;5,3;0;5,3;0;6,5;25;0
